CRASH_RECORD_ID,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,TRAFFIC_CONTROL_DEVICE_FACTORISED,DEVICE_CONDITION_FACTORISED
12,1/3/2024 18:15,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,1,0,0,"OVER $1,500",DISREGARDING TRAFFIC SIGNALS,FAILING TO REDUCE SPEED TO AVOID CRASH,3100,S,LA SALLE ST,211,2,INCAPACITATING INJURY,2,0,2,0,0,0,0,21,6,12,41.83822701,-87.63017264,POINT (-87.630172640708 41.838227006243),1,1
13,1/3/2024 18:06,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,0,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,1398,N,PULASKI RD,2534,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,6,12,41.90612788,-87.72655403,POINT (-87.726554030886 41.906127875249),0,0
14,1/3/2024 18:04,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,1,0,0,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,11200,S,VINCENNES AVE,2212,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,16,6,12,41.69008169,-87.66481728,POINT (-87.664817281655 41.690081689849),1,1
15,1/3/2024 18:02,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,0,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,1750,W,TAYLOR ST,1231,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,10,4,12,41.86930485,-87.67102096,POINT (-87.671020956544 41.869304845008),0,0
16,1/3/2024 18:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,UNKNOWN,NO INJURY / DRIVE AWAY,0,0,0,"$501 - $1,500",FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,939,N,PULASKI RD,1112,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,6,12,41.89836707,-87.72602784,POINT (-87.726027844017 41.898367071372),1,1
17,1/3/2024 17:53,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,0,"OVER $1,500",IMPROPER LANE USAGE,NOT APPLICABLE,1727,W,PETERSON AVE,2012,2,NO INDICATION OF INJURY,0,0,0,0,0,4,0,16,6,12,41.99068712,-87.67275528,POINT (-87.672755278034 41.990687121396),0,0
18,1/3/2024 17:50,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,1,0,1,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,8700,S,WINCHESTER AVE,2221,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,6,12,41.7355761,-87.67108571,POINT (-87.671085708917 41.735576101047),4,1
19,1/3/2024 17:45,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,1,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,7280,W,DEVON AVE,1612,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,19,6,12,41.99727683,-87.80962433,POINT (-87.809624330245 41.997276827989),0,0
20,1/3/2024 17:45,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,DIVIDED - W/MEDIAN (NOT RAISED),0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,0,0,1,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,FAILING TO REDUCE SPEED TO AVOID CRASH,337,N,LARAMIE AVE,1532,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,1,6,12,41.88682787,-87.75514979,POINT (-87.755149787565 41.886827865371),1,1
21,1/3/2024 17:34,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDESTRIAN,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,0,0,0,$500 OR LESS,UNABLE TO DETERMINE,NOT APPLICABLE,200,N,JUSTINE ST,1215,2,"REPORTED, NOT EVIDENT",1,0,0,0,1,2,0,22,4,12,41.88541662,-87.66558755,POINT (-87.665587547731 41.88541661786),4,1
22,1/3/2024 17:30,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLOUDY/OVERCAST,DUSK,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,1,0,1,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,7600,S,WENTWORTH AVE,623,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,15,6,12,41.75631026,-87.62973733,POINT (-87.629737327639 41.756310255415),4,1
23,1/3/2024 17:20,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,FIXED OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,0,0,0,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,3910,S,DR MARTIN LUTHER KING JR DR,213,1,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,7,6,12,41.82349212,-87.61713479,POINT (-87.617134788279 41.823492116066),0,0
24,1/3/2024 17:17,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,1,0,0,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,NOT APPLICABLE,1200,S,MICHIGAN AVE,131,3,NONINCAPACITATING INJURY,1,0,0,1,0,2,0,15,6,12,41.86737777,-87.62428302,POINT (-87.624283015693 41.867377772988),1,1
25,1/3/2024 17:16,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR TO SIDE,PARKING LOT,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,0,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,3141,S,ASHLAND AVE,912,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,6,12,41.83660842,-87.66557057,POINT (-87.665570570832 41.836608420376),0,0
26,1/3/2024 17:08,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,0,$500 OR LESS,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,4900,N,KEDZIE AVE,1713,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,14,6,12,41.97036095,-87.70867746,POINT (-87.708677455927 41.970360950999),1,1
27,1/3/2024 17:00,30,NO CONTROLS,NO CONTROLS,CLEAR,UNKNOWN,PARKED MOTOR VEHICLE,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,1,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,2217,N,KOSTNER AVE,2522,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,17,6,12,41.92125415,-87.73630567,POINT (-87.736305667892 41.921254146671),0,0
28,1/3/2024 16:55,30,NO CONTROLS,UNKNOWN,CLEAR,DAYLIGHT,ANGLE,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,0,0,1,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,5020,W,DIVISION ST,2533,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,13,6,12,41.90240211,-87.75172456,POINT (-87.7517245586 41.902402111456),0,3
29,1/3/2024 16:45,20,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,ONE-WAY,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,0,$500 OR LESS,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,3958,W,POTOMAC AVE,2535,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,2,6,12,41.9045624,-87.72630078,POINT (-87.726300783704 41.904562400787),4,1
30,1/3/2024 16:15,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,0,"OVER $1,500",DISTRACTION - FROM INSIDE VEHICLE,NOT APPLICABLE,958,W,DIVERSEY PKWY,1933,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,0,4,12,41.932749,-87.65380149,POINT (-87.653801488996 41.932748996009),1,1
31,1/3/2024 16:13,30,STOP SIGN/FLASHER,OTHER,CLEAR,DARKNESS,ANGLE,FOUR WAY,0,STRAIGHT AND LEVEL,DRY,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,1,0,0,"OVER $1,500",FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,160,S,KEELER AVE,1115,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,21,6,12,41.87796051,-87.73062985,POINT (-87.730629854327 41.877960508397),4,2
32,1/3/2024 16:00,15,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,PARKING LOT,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,0,"OVER $1,500",IMPROPER BACKING,NOT APPLICABLE,2200,S,PULASKI RD,1013,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,6,12,41.85152144,-87.72490479,POINT (-87.72490478675 41.851521442331),0,0
33,1/3/2024 16:00,45,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,0,"CURVE, LEVEL",DRY,WORN SURFACE,INJURY AND / OR TOW DUE TO CRASH,0,0,0,"OVER $1,500",IMPROPER LANE USAGE,FAILING TO REDUCE SPEED TO AVOID CRASH,4600,S,LAKE SHORE DR SB,222,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,23,4,12,41.81306812,-87.59152857,POINT (-87.591528570871 41.813068123934),0,0
34,1/3/2024 15:51,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,0,$500 OR LESS,PHYSICAL CONDITION OF DRIVER,NOT APPLICABLE,4659,S,LANGLEY AVE,221,3,NO INDICATION OF INJURY,0,0,0,0,0,2,0,15,6,12,41.80959136,-87.60884046,POINT (-87.608840458592 41.809591360497),4,1
35,1/3/2024 15:49,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,1,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,7910,S,KEDZIE AVE,834,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,18,6,12,41.74939082,-87.70253067,POINT (-87.702530671583 41.749390821871),0,0
36,1/3/2024 15:43,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",HEAD ON,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,0,0,1,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,1040,W,79TH ST,612,2,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,17,6,12,41.75065459,-87.65050217,POINT (-87.650502168755 41.75065458886),0,0
37,1/3/2024 15:30,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,REAR END,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,0,"OVER $1,500",UNABLE TO DETERMINE,NOT APPLICABLE,3930,N,WESTERN AVE,1921,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,16,6,12,41.95303814,-87.68858523,POINT (-87.68858523028 41.953038135655),0,0
38,1/3/2024 15:30,20,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,0,"OVER $1,500",DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,676,N,LA SALLE DR,1832,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,11,4,12,41.89469809,-87.63282083,POINT (-87.632820830659 41.89469809427),0,0
39,1/3/2024 15:25,30,NO CONTROLS,NO CONTROLS,CLEAR,DAWN,REAR TO FRONT,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,1,"OVER $1,500",UNABLE TO DETERMINE,IMPROPER BACKING,5067,W,MADISON ST,1533,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,16,6,12,41.88029686,-87.75242946,POINT (-87.752429460783 41.880296862769),0,0
40,1/3/2024 15:24,35,RAILROAD CROSSING GATE,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,0,0,0,"OVER $1,500",FAILING TO REDUCE SPEED TO AVOID CRASH,FOLLOWING TOO CLOSELY,3600,W,87TH ST,834,2,NO INDICATION OF INJURY,0,0,0,0,0,5,0,17,6,12,41.73513547,-87.71208927,POINT (-87.7120892744 41.735135464582),5,1
41,1/3/2024 15:20,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN BARRIER,4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,0,$500 OR LESS,FAILING TO REDUCE SPEED TO AVOID CRASH,FOLLOWING TOO CLOSELY,500,N,LAKE SHORE DR NB,1834,2,NO INDICATION OF INJURY,0,0,0,0,0,3,0,20,2,12,41.89114707,-87.61437506,POINT (-87.61437505723 41.89114707171),0,0
42,1/3/2024 15:15,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,FOUR WAY,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,0,"$501 - $1,500",FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,7199,N,KEDZIE AVE,2411,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,10,6,12,42.01177247,-87.70891954,POINT (-87.708919535409 42.011772471966),1,1
43,1/3/2024 15:15,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,1,"$501 - $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,5465,W,THOMAS ST,1524,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,13,6,12,41.90023239,-87.76338592,POINT (-87.763385915731 41.900232384635),0,0
44,1/3/2024 15:06,35,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,0,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,4700,S,LAKE SHORE DR NB,222,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,9,6,12,41.8105925,-87.58937111,POINT (-87.589371111902 41.810592498867),0,0
45,1/3/2024 15:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,1,0,0,"OVER $1,500",UNABLE TO DETERMINE,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,8655,S,CICERO AVE,834,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,23,6,12,41.73469658,-87.74090368,POINT (-87.740903680717 41.734696579222),1,1
46,1/3/2024 15:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NO INJURY / DRIVE AWAY,0,0,0,"OVER $1,500",DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,FAILING TO REDUCE SPEED TO AVOID CRASH,3224,W,GRAND AVE,1121,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,10,4,12,41.89891116,-87.70784794,POINT (-87.70784793621 41.898911161629),1,1
47,1/3/2024 14:44,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,FOUR WAY,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,0,0,0,"$501 - $1,500","OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",NOT APPLICABLE,232,E,PERSHING RD,212,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,23,4,12,41.82390027,-87.62037741,POINT (-87.62037741134 41.823900269356),4,1
48,1/3/2024 14:40,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,PARKED MOTOR VEHICLE,NOT DIVIDED,0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,INJURY AND / OR TOW DUE TO CRASH,0,0,0,"OVER $1,500",UNABLE TO DETERMINE,UNABLE TO DETERMINE,5629,S,HALSTED ST,711,5,NONINCAPACITATING INJURY,1,0,0,1,0,1,0,20,6,12,41.79163138,-87.64493989,POINT (-87.644939893924 41.791631378801),0,0
